Tipo,Texto,Chave
Relacionado,Com certeza a mãe não estava por perto.,1
Relacionado,kkkkkkkkkkkkkkkkkkkk,1
Relacionado,"Eu vi, eu vi criança de colo voando!",1
Relacionado,"Não existe jogo ganho! Não perca os lances ao vivo de Cavaliers x Pacers neste domingo, às 21h, exclusivo no Prime Video",1
Relacionado,Eu vi isso na transmissão kkkkkkk,1
Relacionado,KKKKKKKKKKKKKKKKKK eu e minha cria no futuro,1
Relacionado,Eu vi criança de colo correndo,1
Relacionado,pura emoção,1
Relacionado,Como eu amo o futebol KKKKKKKKKKKKKKKKKKKKKKKK,1
Relacionado,Hahahahahahahahahahah emocionado demais,1
Relacionado,Oloco kkkkk,1
Relacionado,@Abraaojose_,1
Relacionado,eu na torcida do Corinthians com meu sobrinho,1
Relacionado,@i7zinxcrf,1
Relacionado,"Quem vai vencer o confronto: Cavaliers ou Pacers? Assista ao quarto jogo das semifinais neste domingo, às 21h, exclusivo no Prime Video.",1
Relacionado,@12gtt,1
Relacionado,@brendhaferr,1
Relacionado,Isso é Nordeste carai.,1
Relacionado,Oq ela deve rir quando ficar mais velha e ver esse video n ta escrito,1
Relacionado,@isa_rodrigues32,1
Relacionado,Taffareeeel!!!,1
Relacionado,"Ao chegar em casa:

 - Mãe: Como foi filh?
 - Eu voei",1
Relacionado,"""Homem"" que não quer ser pai",1
Relacionado,Futebol respira,1
Relacionado,KAKAKKAKAKAKKAKA,1
Relacionado,@th_akioo,1
Relacionado,@CecilinhaLp,1
Relacionado,@oiseuvini,1
Relacionado,Kkkkkkkkkkk criando memórias,1
Relacionado,KAKAKAKKAKAKAKAKAKKAKAKKAKALAKAKAKAKAKKAKAKAKAKAKAKAKAKAKKAKA VSFD,1
Relacionado,perigoso foi um crime,1
Relacionado,Kkkkkkkkkkkkkkkk,1
Relacionado,@wafflecomcalda,1
Relacionado,Kkkkkkkkkkkk,1
Relacionado,Eu jogando a Akali pro alto no Santiago Mulambeu,1
Relacionado,E essa tv analógica aí,1
Relacionado,Não acredito que esse pai fez isso,1
Relacionado,Jaajajajajajajajja,1
Relacionado,Kqkkakakakwkqjqhqhwkwkwks,1
Relacionado,GENTE,1
Relacionado,kkkkkkkkkkkkkkkk,1
Relacionado,KKKKKKKKKKKKKKKKKKKKKKKKKKKKK,1
Relacionado,Kkkkkkkkkkk,1
Relacionado,KKKKKKKKKKKKKKKKKK,1
Relacionado,Canta fdp,1
Relacionado,@solitari_ana,1
Relacionado,E essa daqui,1
Relacionado,"mano

vocês tem ideia que o Léo Dias pode ter começado a caminhada do HEXA DO BRASIL?

pqp… monstro do furo",1
Relacionado,Krl esse mlk é todo xerecard da cabeça kkkjjkkkkkkkkkkkkkkkkkkkkkkkk (dito isso tbm não sei),1
Relacionado,rapaz... uma das maiores comidas de rabo da história desse site,1
Principal,momento que o pai joga a filha pra cima na comemoração do gol kkkkkkkkkkkkkk,2
Relacionado,@M__liisa será que era um reborn?,2
Relacionado,@1909Pistola  @coringaow  @dystowpia SO QUERO UMA SE FOR PRA FAZER ISSO KKKK,2
Relacionado,Fiz a mesma com o meu bebê reborn. Só quem é pai sabe a felicidade e o quão único é esse momento.,2
Relacionado,@dudabxzs_ eu com sua sobrinha,2
Relacionado,Ver o time ganhar no estádio e comemorar com a filha é o sonho de todo homem,2
Relacionado,@joaobyel05,2
Relacionado,@BrbaraFeitosa5,2
Relacionado,@felizardd1,2
Relacionado,É O CICLO SEM FIIIIIIIIM,2
Relacionado,@bitchevique ESSE EH SEU TIME,2
Relacionado,Conheça nossas influenciadoras. Seja Privacy.,2
Relacionado,@cisg0ne véi kkkkkkkkkkkkkkkkk,2
Relacionado,@wadmixis,2
Relacionado,"1992, Maracanã, 2º jogo da final do Brasileiro, gol de falta do Júnior, 2x0 Flamengo, meu pai fez exatamente a mesma coisa comigo.
Lembro claramente. 
Muito F0DA!",2
Relacionado,coitada da criança não deve tá entendendo nada kkkkkkkkkk,2
Relacionado,Só quem tá lá sabe como é a felicidade,2
Relacionado,@annavitue JURO,2
Relacionado,"Final da champs de 21/22 joguei minha filha pro alto quando saiu gol, depois disso, ela, nu cá mais parou quieta. Parece que ativou um negócio  o cérebro que ela tem que ficar escalando, pulando ou correndo kkkkkk",2
Relacionado,A menina ficou felizona mane,2
Relacionado,@DiegoAlexandre NEM PENSAR!!!!!!!,2
Relacionado,é um bebê Reborn,2
Relacionado,Preciso ter uma filha,2
Relacionado,A menina quase deu um mortal kkkkkk,2
Relacionado,KKKKKKKK,2
Relacionado,Fofos,2
Relacionado,Já entra pros melhores momentos do campeonato.,2
Relacionado,@nnabarretti,2
Relacionado,claramente eu daqui uns anos,2
Relacionado,KKKKKKKKKK,2
Relacionado,Um sonho...,2
Relacionado,HAUAHAUHAUAHAIA BOM DEMAIS,2
Relacionado,@badgxlsa,2
Relacionado,@_brestefani,2
Relacionado,kkkkkkkkkkkkkkkkkk,2
Relacionado,KKKKKKKKKKKKKKKKKKKKKKKKKK,2
Relacionado,@KayMattoso KKKKKKKKKKKKKKK,2
Relacionado,Eu sendo mãe,2
Relacionado,mds kkkkkkkkkkkkkk,2
Relacionado,"Esse jogo do Fortaleza vs juventude deu de tudo kkkkkkkkkkkkkkkkkkkkkkkkk

 eu quando for pai",2
Relacionado,"Brasil: Um Estado que Mata e Chama Isso de Democracia

O Brasil não é um país – é um sistema de exclusão em massa. Governo após governo, a mesma engrenagem perversa se repete: políticos roubam, mentem e legislam em causa própria, enquanto milhões são condenados à fome, à",2
Relacionado,@_______almeida,2
Relacionado,@littlebhjcg  @_gleycidara,2
Relacionado,Minha nossa senhora kkkkkkkkkkkk,2
Relacionado,@cammilasilveira,2
Relacionado,@MestreMota5,2
Relacionado,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,2
Relacionado,@Laryssa_lemos2,2
Relacionado,@brendssrr,2
Relacionado,Não julgo kkkk,2
Relacionado,minha nossa senhora kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,2
Relacionado,Lkkkkkkkkkkk,2
Relacionado,Quem nunca,2
Relacionado,N caiu é manobra,2
Relacionado,Já já vem o chato(a) falando q não pode,2
Relacionado,meu deus,2
Relacionado,O homem de branco no canto do video tendo a mesma reação que eu lkkkkkkkkkkkkkkkkkkk,2
Relacionado,@pacocaeater,2
Relacionado,Raiz kkkkkkkkkk,2
Relacionado,Sonho,2
Relacionado,máximo respeito a torcida do Fortaleza que foi lá no fim do mundo assistir esse jogo,2
Relacionado,Kkkkkkkkkkkkkkkkk,2
Relacionado,Kkkkkkkkkkkkkkkkkkkk,2
Relacionado,"Quase aconteceu um full shrimp;
! Haha …mas q sensacional! Vamoooo Fortaleza!!!",2
Relacionado,"Quase quebrou a coluna da criança, bixo",2
Relacionado,Jaja aparece um militante chatasso dizendo “nossa que irresponsável “,2
Relacionado,Aparentemente é o tio. Um cara apareceu em outro post dizendo que era o tio da piveta!,2
Relacionado,feio,2
Relacionado,Vagabundo,2
Relacionado,Faria a mesma coisa !,2
Principal,"Amanhã tem brasileirão 

Sport recebe o Cruzeiro em casa. Vamos!!!",3
Relacionado,C A R A L H O tu canetou demais nessa aq pqp,3
Relacionado,Tmj!,3
Relacionado,Ficou Mt bom,3
Relacionado,Valeu,3
Relacionado,"Referência foda.
Sensacional",3
Relacionado,obrigado!,3
Relacionado,"KRL MEU MANO, TU É MUITO BRABO...",3
Relacionado,"Tmj, fera",3
Relacionado,"Cara, você merece essa vitória",3
Relacionado,"todos merecemos, dessa vez vai",3
Relacionado,PQP q arte do caralho,3
Relacionado,Muito obrigado,3
Relacionado,vamos ter que selar essa raposa em Zé Lucas,3
Relacionado,"É o protagonista, não tem como",3
Relacionado,A Kurama hoje não ser selada,3
Relacionado,@dragonjoao10,3
Relacionado,pelo talento o sport deveria voltar a vencer (depois do jogo de hoje),3
Relacionado,"Arte foda em mano, parabéns!",3
Relacionado,Que arte absurda!!!,3
Relacionado,"pior que todos os leões ganharam depois do conclave
to com medo",3
Relacionado,pqp ficou foda,3
Relacionado,fodaaa,3
Relacionado,QUE ARTE INCRÍVEL,3
Relacionado,DAHORA DEMAIS MANO!,3
Relacionado,Gostei da referência de Naruto.,3
Relacionado,Brabo,3
Relacionado,"Inacreditavel 
Tu é mt foda cara",3
Relacionado,"tu canetou demais nessa paizão, muito foda",3
Relacionado,@DiegoFerrazMor1,3
Relacionado,Krl essa ficou alto nível slk,3
Relacionado,crlh teus desenhos tão cada vez melhored,3
Relacionado,"Which character caught your eye first? Comment below — we wanna know!

Available on YouTube too — go watch!  https:// en?twclid=22cjap6kvrif14c7e4ortpbsnn …  #TheSummerHikaruDied  #Hikanatsu  #anime",3
Relacionado,"Caralho, você é muito foda mano!",3
Relacionado,PQP QUE FODA!!!!!!,3
Relacionado,"Eu aceitaria facilmente essa arte como chamada para o jogo de amanhã nos perfis oficiais do clube. Ficou foda demais, parabéns.",3
Relacionado,FODA PRA KRLLLLL,3
Relacionado,"Essa ficou foda demais
Adorei a referência",3
Relacionado,Pelo menos essa arte tem que ter um final bom (Se der ruim vai ter que desenhar a raposa empalando o leão com a unha ),3
Relacionado,Referência gigante!,3
Relacionado,"QUE ISSO, SENSACIONAL!!",3
Relacionado,Esse é o Ep que a 9 caudas é selada no Carlos Alberto e ele vira um jinchuuriki. Não vai descansar enquanto não for artilheiro do brasileirão,3
Relacionado,Essa raposa ficou muito foda cara,3
Relacionado,MUITOOOOO FODAAA!!!,3
Relacionado,Raposa de nove taças,3
Relacionado,foda,3
Relacionado,Você é fera!,3
Relacionado,Hoje tem 𝗦𝗣𝗢𝗥𝗧 𝗖𝗟𝗨𝗕 𝗗𝗢 𝗥𝗘𝗖𝗜𝗙𝗘! Dia de Ilha do Retiro!,3
Relacionado,"Papa Leão eleito
- Mirassol venceu
- Fortaleza venceu
- Vitoria venceu com um a menos e saiu da zona de rebaixamento

- Sport Club do Recife:",3
Relacionado,"A VIRADA DE CHAVE COMEÇA AMANHÃ! 

SOMOS SPORT CLUB DO RECIFE",3
Relacionado,"| HOJE TEM SPORT!!!

QUE COMECE A REMONTADA",3
Principal,boa tarde,4
Relacionado,"O corinthiano achou q não ia perceber ele colocando o pai deles ali
Tira o Flamengo dai zé KKKKKKKKKKKKK",4
Relacionado,| Corinthians???,4
Relacionado,o galo ali é o atletico?,4
Relacionado,É o ADM do galo,4
Relacionado,"Tu é católico, ADM?",4
Relacionado,Ss,4
Relacionado,cade o patético paranaense nessa lista?,4
Relacionado,Na série B,4
Relacionado,Se me explicar o que é esse galo e tirar a bandeira de SP eu posto,4
Relacionado,Adm do Juventude?,4
Relacionado,"Eu ainda acho mais válido tu morar no nordeste, ou no sul, e torcer pra um europeu 

Do que tu falar “ain meu mengaum”

Coisa de fudido kkkkkk",4
Relacionado,"Considerando q a maioria dos espectadores de futebol são homens entre 15 e 30 anos e esses tem a tendência de serem mais conservadores, qual a chance de TODOS os adms de páginas da Futt serem progressistas? 

Alguém está mentindo a opinião ou tem boomers gerindo páginas?",4
Relacionado,@tmquintanilha,4
Relacionado,@crfallef,4
Relacionado,"Puta que pariu, deixaram um adm da poptime entrar na página",4
Relacionado,@caio_ddr,4
Relacionado,Tira o Flamengo pra eu poder repostar,4
Relacionado,@jsxtt07  @gomesthurzx  @murillodapaz  @MFborges21 não fodo.,4
Relacionado,@aff_artt EU VIVI POR ESSES MOMENTOS KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,4
Relacionado,O que o meu CASA Luka faz nessa imagem,4
Relacionado,Foto do Kanye e o cara não compactua com israel k.,4
Relacionado,Oq o Luka Dončić tem a ver,4
Relacionado,troca o real pelo barcelona pra eu repostar,4
Relacionado,E kings league,4
Relacionado,Desses aí eu só compactuo com a Argentina e Flamengo,4
Relacionado,gabaritei,4
Relacionado,alguem faz a versao sem o estado de sp p eu retuitar,4
Relacionado,o adm imitando o payet,4
Relacionado,@whatifrey nós dois compactuamos apenas com um cada um,4
Relacionado,Betinha,4
Relacionado,Me senti atacado como Flamenguista Paulista e fã do Luka Doncic,4
Relacionado,Flamengo,4
Relacionado,Com o Luka eu compactuo hahaha,4
Relacionado,tira o real dai q é rt,4
Relacionado,Faltou a bandeira do RJ pra ficar perfeito,4
Relacionado,A bandeira de Israel e uma foto do kayne west paia,4
Relacionado,Tragam uma saia para a moça,4
Relacionado,Quanta coisa boa na imagem,4
Relacionado,gostei da foto a pessoa usada representou bem quem nao gosta do mengao,4
Relacionado,Complicado flamengo e israel,4
Relacionado,"Só tirar pomeiras, Is real?, Argentina

Aí compactuo",4
Relacionado,kkkkkkkkkkkk cara tira o Flamengo e o Real Madrid dai maluco,4
Relacionado,"Deixa o GS ganhar, apostei nele",4
Relacionado,Fato incontestável.,4
Relacionado,Por que SP e Luka não ?,4
Relacionado,como falar que gosta de rapazes,4
Relacionado,Sempre tranquilo,4
Relacionado,"meteram o luka ali como se ninguém fosse perceber, sacanagem",4
Relacionado,O Luka é inocente,4
Relacionado,Oq seria errado com Luka Doncic,4
Relacionado,Tira o Real Madrid e o Luka e tá certo,4
Relacionado,noooooooooooooooosa diretamente do condominio Jardim América,4
Relacionado,Tira o Warriors daí,4
Relacionado,"Nós seres humanos, meio Kanye West",4
Relacionado,Só trocaria o GSW pelo Celtics,4
Relacionado,Faltou a bandeira da França,4
Relacionado,kkkkkkkkkkkkkkkkkkk o luka vsf kkkkkkkkkkk,4
Relacionado,tira o ADM do galo aí pra eu poder dar rt,4
Relacionado,Tchola demais,4
Relacionado,Sua mae sabe que vc gosta de rapazes?,4
Relacionado,Amém,4
Relacionado,Faltou o Bolsonaro,4
Relacionado,"Ter um adm baitola já é ruim, agora,  baitola e esquerdista é de fuder! 

Exclusão  desse adm já",4
Relacionado,Vc da muito é seu uc seu @viado,4
Relacionado,@karencfx tomou de moradora 2 vzs pqp,4
Relacionado,calma morde fronha,4
Relacionado,Escolheu todas a instituições malignas do mundo,4
Relacionado,Mais um Adm Enzo viado pqp,4
Relacionado,odeio todos menos o malvadão,4
Relacionado,Assim q vc dorme sabendo q da o rabo?,4
Relacionado,O adm mais gay possivel,4
Relacionado,"eu acho que isso foi a maior cabacisse que eu já vi, parabéns",4
Principal,"BRASILEIRÃO - 8ª RODADA
Makima VS Haerin #FLAxBAH  #chainsawman  #NewJeans",5
Relacionado,Vamo amassar eles lupif!,5
Relacionado,vamos,5
Relacionado,Que foda,5
Relacionado,Haerin tá de Aubrey?? Mto fofo,5
Relacionado,Oloco,5
Relacionado,O BAHIAJEANS,5
Relacionado,Que Collab INSANA,5
Relacionado,tropa do oxente,5
Relacionado,Simplesmente insano,5
Relacionado,CARALHIOIOOOOOOOOOO FODA DMSSSSSS PQPPPPCFCOJKLDSBHFGJMHSDHV FIOLKMSDFVWSFG,5
Relacionado,Meu deus do céu que arte linda!!!!,5
Relacionado,"Monday, 12th May 4:05 PM UTC X Spaces

Something’s brewin’ behind the curtain at CHUCKLE… We’re feelin’ party vybez only Rumors of prizes ,giggles, and maybe… something bigger? Join the party! It's all good baby!",5
Relacionado,"Ow mano, isso aqui é lindo demais, como que pode?",5
Relacionado,Vai mengaooo,5
Relacionado,Insano.,5
Relacionado,Insanamente insano,5
Relacionado,@ACKERMANoficial,5
Relacionado,Que sapato bem feito pqp,5
Relacionado,"OMG BAHIA JEANS, HI",5
Relacionado,Foda,5
Principal,A diferença entre o tigre e o goat,6
Relacionado,Vídeo?,6
Relacionado,"Maximize your earnings with no-fee staking.
Only on Core.",6
Relacionado,Eles vão perder pro Chelsea tu tá ligado né ?,6
Relacionado,"3° divisão da champions, os caras tao de sacanagem",6
Relacionado,"Não ta de todo errado, qual o último título do Betis??? 
O foda é que, ganhou algo com a camisa do trika tbm??",6
Relacionado,Pior que se o Betis ganhar fica de título pro Vitor roque,6
Relacionado,a diferença é que Vitor roque é do palmeiras. e ANTONY é do Betis. normal cada um defender o seu time,6
Relacionado,"3 divisão da Champions league, realmente é o que ele precisa se contentar mesmo.",6
Relacionado,Conference league é pior que a sul americana diga se de passagem garotinho.,6
Relacionado,"nao mentiu em nada, nao sei pq tao problematizando a fala dele, conference league e a 3 liga continental, champions > europa league > conference, ja no palmeiras ele disputa as principais competições do pais e do continente...",6
Relacionado,"Vitor roque usou uma desculpa pra explicar seu fracasso culpando o time

Antony abraçou a oportunidade e está está honrando seu atual clube

Entenderam a Diferença",6
Relacionado,"Dando um Google , o Vitor Roque recebe um salário superior jogando no Palmeiras do que no Bétis. É melhor jogar no Brasil disputando títulos. Não tá errado. Agora quem vai pagar o salário do Antony no Brasil ?",6
Relacionado,"#iSeeChina 丨The apparel industry is highly sensitive to prices. How are Chinese clothing companies tackling #tariff challenges? We visited several companies at the #CantonFair , and they all said: ""We’re not afraid!"" #tariffwar  #TrumpTariffs  @cantonfair  @iGuangdong",6
Relacionado,"Errado ele não tá, jogadores vão saindo do Brasil pra jogar em time de segundo e terceiro escalão da Europa, não tem pressão da mídia e torcida depois chega em copa do mundo nao aguenta jogar contra a Turquia e fica com depressao se o Galvão crítica na mídia kkkk",6
Relacionado,"Não errou em nada, Betis é time pequeno e viverá assim por 100 anos.
Ninguém sonha em ser jogador do Betis.",6
Relacionado,"Assim Vitor roque não errou nas palavras mas ainda n deixa de ser um fracasso que está culpando o time pelo seu fracasso, enquanto o Antony que provavelmente deve concordar com ele, agradece por poder fazer história no clube e provavelmente ele arquaria com a culpa se falhasse",6
Relacionado,"Quero saber onde o Roque mentiu 
Que bosta é liga conferência? 
Lá liga é jogar pra ver quantos vai levar do Barcelona e Madrid 

Briga por merda nenhuma",6
Relacionado,"Antony é, sem dúvida, um jogador de mais destaque e potencial que Vitor Roque. Enquanto Antony já se provou em competições internacionais de peso, mostrando habilidade, maturidade e personalidade em campo, Vitor Roque falta muito nem personalidade tem",6
Relacionado,"Vitor Roque fala mau de todo time que abre as portas pra ele jogar, impressionante… não é atoa que a carreira desandou",6
Relacionado,do mesmo jeito que ninguém sonha em jogar no betis de acordo com alguns qual europeu sonha em jogar no palmeiras kkkkkkkkkkkkk,6
Relacionado,Antony é maior que Nhoque e Bétis é maior que o Palmeiras,6
Relacionado,"O Antony sonha em ainda jogar em alto nível, Vitor Roque quando veio para o Brasil acabou com toda e qualquer chance de voltar a Europa, como o Gabi Gol também fez.",6
Relacionado,"pronto, o time pequeno do betis e a inventada conmerdencia liga é boa agora",6
Relacionado,"Bétis chegou na final ok muito bom,mas agora pega um time muito acima da competição o Chelsea. Vai entrar como azarão não como favorito ou em pé de igualdade.",6
Relacionado,"Lá vc está na Europa, espelho ainda maior para times Europeus, o Palmeiras bem gramado profissional não tem em seu campo rsrs",6
Relacionado,"Mas é a realidade, conference é título nível campeonato estadual 
Palmeiras briga pelos principais títulos do continente 

Brasileiro, libertadores, Copa do Brasil",6
Relacionado,"O Barcelona, clube que o tirou do Atlético PR, briga por La Liga e esse ano brigou por Champions. 

Terceirizando a culpa por seu insucesso.",6
Relacionado,@uchoa_annaluiza goat demais,6
Relacionado,"legal que o 6 da La Liga vai pra conference, enquanto o 6 aqui vai pra libertadores kkkkkkk",6
Relacionado,Betis é minúsculo perto dos grandes de SP,6
Relacionado,"pessoal q critica o antony n sabe q o betis nunca nem chegou em nenhuma final de algo continental, então só por ter chegado já é historico, ganhar um titulo é literal colocar seu nome estapamado em uma historia de um time, antony tá 100x mais certo",6
Relacionado,"que pensamentinho esse do vitor roque ein kkkkkkkkkkk o betis amassava o palmeiras em qualquer hora do dia, cravo aqui",6
Relacionado,mas o que uma coisa tem haver com a outra?,6
Relacionado,vitor roque KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK TU ERA RESERVA NO BETIS IRMÃO KKKKKK,6
Relacionado,Desculpa meio merda pra qm n tem titulo relevante na carreira,6
Relacionado,Vitor roque não sabe nem o q é título,6
Relacionado,"a diferença é que eu não conseguiu levar o Bétis para um final de competição, agora a LA CABRA levou",6
Relacionado,vitor nhoque é a maior enganação do futebol brasileiro nesta década,6
Relacionado,"Se o Vitor Roque tivesse ganho algum título pelo Betis, ter sido titular absoluto, feito 50 gols por temporada, concordaria com a frase dele, mas o entendo porque quis fazer média com a torcida palmeirense. Faz parte!",6
Relacionado,Vitor Roque não mentiu,6
Relacionado,Você não deu certo em um time que briga por ucl e não deu certo em um time que briga pra disputar a conference. O gordinho Vitor nhoque ao tentar enaltecer o time dele se auto desmereceu kkkk,6
Relacionado,"Vitor Roque so mostra ser um jogar de lampejo. Jogador superestimado, que não jogou nada no Barcelona (beleza, vamos dizer que teve poucas oportunidades), porém no Betis foi um jogador muito comum, com nada diferente para acrescentar ao time. Saiu em baixa e ate agora nada.",6
Relacionado,Uma conference é o título da vida o são paulino do betis.,6
Relacionado,Antony entrando em campo para meter 3 gols no Chelsea,6
Relacionado,"Eu acho válido a fala dos dois. O único “erro” aí é que o Vitor Roque nao tem moral nenhuma pra falar do Bétis ou do que o clube disputa. Ele esteve lá e foi um milhão de vezes abaixo do que o Antony ou o William José, por exemplo.",6
Relacionado,@ReciolaBnds,6
Relacionado,@brennowlt,6
Relacionado,"Comparar o discurso do Roque no PALMEIRAS pós Betis, com o discurso do Antony ainda no BETIS, me parece uma comparação muito justa, parabéns!",6
Relacionado,"A diferença de mentalidade e de humildade é impressionante, nem se o Antony continuar no Betis, mas mesmo assim ele ajudou eles a irem pra champions league, enquanto vitor roque só subestimou o time e achou que iria brilhar no Brasileirão",6
Relacionado,"Jogadorzinho cheio de desculpinha esfarrapada, no Barça era pq não tinha oportunidade, no Betis é pq disputava conference agora no Palmeiras o time q tem o melhor treinador do Brasil nos últimos tempos vc mete 2 gol em uns 15 jogos e quer continuar metendo a mala kkkkkkkkkkkkkkk",6
Relacionado,O Antony  já fez mais que o denilson,6
Relacionado,@Oh_Carlinhos,6
Relacionado,Antony tem cara que vai virar world class. O cara tem uma aura impressionante,6
Relacionado,"Antony é jogador de seleção, Vitor é jogador de várzea, essa é a grande diferença.",6
Relacionado,Conference League é a série C da Europa mano !!,6
Relacionado,"Antony vai acabar indo pra um time maior na próxima janela, já Vitor roque não volta pra Europa, Gabigol 2.0",6
Relacionado,O palmeiras é definitivamente maior que o Bets po,6
Relacionado,"Nem
Sou fã do Antony mas fico muito feliz por ele ter conseguido dar a volta por cima",6
